"x","y","dx","dy","dist","dt","R2n","abs.angle","rel.angle","id","date","id_day_all","month","datetime","behavior","species","id_tree","group"
365520.78,7541156.19,21.359999999986,-5.73000000044703,22.1152096984073,300,444541.510897192,-0.262087885256666,-0.150737375259012,"SantaMaria","2015-03-31","Mar_16","Mar",2015-03-31 11:25:00,"Resting",NA,NA,"SantaMaria"
365542.14,7541150.46,8.98999999999069,3.79999999981374,9.76012807284909,300,458101.54856473,0.399914025686291,0.662001910942957,"SantaMaria","2015-03-31","Mar_16","Mar",2015-03-31 11:30:00,"Foraging",NA,NA,"SantaMaria"
365551.13,7541154.26,21.710000000021,-17.7099999999627,28.017283951154,300,470258.859206539,-0.684272957439605,-1.0841869831259,"SantaMaria","2015-03-31","Mar_16","Mar",2015-03-31 11:35:00,"Inactive",NA,NA,"SantaMaria"
365572.84,7541136.55,15.1900000000023,-7.04000000003725,16.7420936564277,300,473812.557884592,-0.433993023086934,0.250279934352671,"SantaMaria","2015-03-31","Mar_16","Mar",2015-03-31 11:40:00,"Travel",NA,NA,"SantaMaria"
365588.03,7541129.51,26.5,-16.0800000000745,30.9970385682632,300,482277.020726559,-0.545398987720902,-0.111405964633969,"SantaMaria","2015-03-31","Mar_16","Mar",2015-03-31 11:45:00,"Frugivory",NA,"SMaf084","SantaMaria"
365614.53,7541113.43,15.4899999999907,13.570000000298,20.5933241611887,300,494892.85490649,0.719423850917437,1.26482283863834,"SantaMaria","2015-03-31","Mar_16","Mar",2015-03-31 11:50:00,"Frugivory","Eugenia aff. ramboi","AMf051","SantaMaria"
365630.02,7541127,9.07999999995809,-15.6699999999255,18.1106405186814,300,524289.553628763,-1.04562330106942,-1.76504715198686,"SantaMaria","2015-03-31","Mar_16","Mar",2015-03-31 11:55:00,"Resting",NA,NA,"SantaMaria"
365639.1,7541111.33,0,0,0,300,519820.012112775,NA,NA,"SantaMaria","2015-03-31","Mar_16","Mar",2015-03-31 12:00:00,"Inactive","Eugenia aff. ramboi","AMf138","SantaMaria"
365639.1,7541111.33,0,0,0,300,519820.012112775,NA,NA,"SantaMaria","2015-03-31","Mar_16","Mar",2015-03-31 12:05:00,"Gummivory","Eugenia aff. ramboi","AMf138","SantaMaria"
365639.1,7541111.33,0.800000000046566,-28.0600000005215,28.0714018180308,300,519820.012112775,-1.54229371280476,-0.496670411735345,"SantaMaria","2015-03-31","Mar_16","Mar",2015-03-31 12:10:00,"Frugivory","Eugenia aff. ramboi","AMf138","SantaMaria"
