"id_day_all","x","y","id_month","datetime","behavior","species","id_tree","group"
"may001",781882.970580149,7407900.06595431,"May","2019-05-16 08:55:00","Frugivory","Celtis iguanaea","AG156","Guareí"
"may001",781882.970580149,7407900.06595431,"May","2019-05-16 09:00:00","Frugivory","Celtis iguanaea","AG156","Guareí"
"may001",781882.970580149,7407900.06595431,"May","2019-05-16 09:05:00","Frugivory","Celtis iguanaea","AG156","Guareí"
"may001",781882.970580149,7407900.06595431,"May","2019-05-16 09:10:00","Frugivory","Celtis iguanaea","AG156","Guareí"
"may001",781882.970580149,7407900.06595431,"May","2019-05-16 09:15:00","Frugivory","Celtis iguanaea","AG156","Guareí"
"may001",781882.970580149,7407900.06595431,"May","2019-05-16 09:20:00","Frugivory","Celtis iguanaea","AG156","Guareí"
"may001",781882.970580149,7407900.06595431,"May","2019-05-16 09:25:00","Frugivory","Celtis iguanaea","AG156","Guareí"
"may001",781882.970580149,7407900.06595431,"May","2019-05-16 09:30:00","Frugivory","Celtis iguanaea","AG156","Guareí"
"may001",781882.970580149,7407900.06595431,"May","2019-05-16 09:35:00","Frugivory","Celtis iguanaea","AG156","Guareí"
"may001",781882.970580149,7407900.06595431,"May","2019-05-16 09:40:00","Frugivory","Celtis iguanaea","AG156","Guareí"
"may001",781882.970580149,7407900.06595431,"May","2019-05-16 09:45:00","Inactive","Celtis iguanaea","AG156","Guareí"
"may001",781882.970580149,7407900.06595431,"May","2019-05-16 09:50:00","Travel","Celtis iguanaea","AG156","Guareí"
"may001",781867.167573686,7407897.26562816,"May","2019-05-16 09:55:00","Frugivory","Celtis iguanaea","AG125","Guareí"
"may001",781867.167573686,7407897.26562816,"May","2019-05-16 10:00:00","Foraging","Celtis iguanaea","AG125","Guareí"
"may001",781867.167573686,7407897.26562816,"May","2019-05-16 10:05:00","Foraging","Celtis iguanaea","AG125","Guareí"
"may001",781867.167573686,7407897.26562816,"May","2019-05-16 10:10:00","Frugivory","Celtis iguanaea","AG125","Guareí"
"may001",781867.167573686,7407897.26562816,"May","2019-05-16 10:15:00","Frugivory","Celtis iguanaea","AG125","Guareí"
"may001",781867.167573686,7407897.26562816,"May","2019-05-16 10:20:00","Frugivory","Celtis iguanaea","AG125","Guareí"
"may001",781867.167573686,7407897.26562816,"May","2019-05-16 10:25:00","Foraging","Celtis iguanaea","AG125","Guareí"
"may001",781867.167573686,7407897.26562816,"May","2019-05-16 10:30:00","Foraging","Celtis iguanaea","AG125","Guareí"
"may001",781869.991716401,7407916.25615364,"May","2019-05-16 10:35:00","Travel",NA,NA,"Guareí"
"may001",781863.53556654,7407921.16412519,"May","2019-05-16 10:40:00","Frugivory","Celtis iguanaea","AG77","Guareí"
"may001",781863.53556654,7407921.16412519,"May","2019-05-16 10:45:00","Travel","Celtis iguanaea","AG77","Guareí"
"may001",781867.446126739,7407947.19428608,"May","2019-05-16 10:50:00","Travel",NA,NA,"Guareí"
"may001",781880.129257411,7407978.24963575,"May","2019-05-16 10:55:00","Travel",NA,NA,"Guareí"
"may001",781883.982716122,7407995.47392613,"May","2019-05-16 11:00:00","Frugivory","Celtis iguanaea","AG157","Guareí"
"may001",781883.982716122,7407995.47392613,"May","2019-05-16 11:05:00","Frugivory","Celtis iguanaea","AG157","Guareí"
"may001",781883.982716122,7407995.47392613,"May","2019-05-16 11:10:00","Frugivory","Celtis iguanaea","AG157","Guareí"
"may001",781883.982716122,7407995.47392613,"May","2019-05-16 11:15:00","Frugivory","Celtis iguanaea","AG157","Guareí"
"may001",781883.982716122,7407995.47392613,"May","2019-05-16 11:20:00","Frugivory","Celtis iguanaea","AG157","Guareí"
"may001",781883.982716122,7407995.47392613,"May","2019-05-16 11:25:00","Travel","Celtis iguanaea","AG157","Guareí"
"may001",781887.415170477,7408010.41163514,"May","2019-05-16 11:30:00","Foraging",NA,NA,"Guareí"
"may001",781880.454704834,7408020.32730825,"May","2019-05-16 11:35:00","Foraging",NA,NA,"Guareí"
"may001",781880.454704834,7408020.32730825,"May","2019-05-16 11:40:00","Travel",NA,NA,"Guareí"
"may001",781861.348772156,7408041.15903204,"May","2019-05-16 11:45:00","Travel",NA,NA,"Guareí"
"may001",781860.813782758,7408050.38499571,"May","2019-05-16 11:50:00","Travel",NA,NA,"Guareí"
"may001",781860.813782758,7408050.38499571,"May","2019-05-16 11:55:00","Foraging",NA,NA,"Guareí"
"may001",781860.813782758,7408050.38499571,"May","2019-05-16 12:00:00","Out of sight",NA,NA,"Guareí"
"may001",781860.813782758,7408050.38499571,"May","2019-05-16 12:05:00","Out of sight",NA,NA,"Guareí"
"may001",781852.858526567,7408048.19618893,"May","2019-05-16 12:10:00","Travel",NA,NA,"Guareí"
"may001",781842.457152111,7408033.32684422,"May","2019-05-16 12:15:00","Foraging",NA,NA,"Guareí"
"may001",781842.457152111,7408033.32684422,"May","2019-05-16 12:20:00","Travel",NA,NA,"Guareí"
"may001",781840.088328417,7408058.72470973,"May","2019-05-16 12:25:00","Travel",NA,NA,"Guareí"
"may001",781836.429001826,7408100.01466334,"May","2019-05-16 12:30:00","Foraging",NA,NA,"Guareí"
"may001",781822.230383244,7408108.03432129,"May","2019-05-16 12:35:00","Travel",NA,NA,"Guareí"
"may001",781821.451162511,7408116.59607117,"May","2019-05-16 12:40:00","Frugivory","Syagrus romanzoffiana","AG130","Guareí"
"may001",781821.451162511,7408116.59607117,"May","2019-05-16 12:45:00","Frugivory","Syagrus romanzoffiana","AG130","Guareí"
"may001",781821.451162511,7408116.59607117,"May","2019-05-16 12:50:00","Frugivory","Syagrus romanzoffiana","AG130","Guareí"
"may001",781812.353903522,7408134.47699881,"May","2019-05-16 12:55:00","Foraging",NA,NA,"Guareí"
"may001",781817.951839567,7408140.26903415,"May","2019-05-16 13:00:00","Foraging",NA,NA,"Guareí"
"may001",781809.847338838,7408145.51508593,"May","2019-05-16 13:05:00","Foraging",NA,NA,"Guareí"
"may001",781809.847338838,7408145.51508593,"May","2019-05-16 13:10:00","Out of sight",NA,NA,"Guareí"
"may001",781809.847338838,7408145.51508593,"May","2019-05-16 13:15:00","Foraging",NA,NA,"Guareí"
"may001",781792.178710949,7408137.52935504,"May","2019-05-16 13:20:00","Travel",NA,NA,"Guareí"
"may001",781782.836495345,7408136.78842462,"May","2019-05-16 13:25:00","Foraging",NA,NA,"Guareí"
"may001",781767.413611974,7408123.84526205,"May","2019-05-16 13:30:00","Foraging",NA,NA,"Guareí"
"may001",781755.787401818,7408126.95693562,"May","2019-05-16 13:35:00","Foraging",NA,NA,"Guareí"
"may001",781748.780258003,7408114.72598174,"May","2019-05-16 13:40:00","Foraging",NA,NA,"Guareí"
"may001",781748.780258003,7408114.72598174,"May","2019-05-16 13:45:00","Foraging",NA,NA,"Guareí"
"may001",781737.491080898,7408128.28247878,"May","2019-05-16 13:50:00","Frugivory","Celtis iguanaea","AG76","Guareí"
"may001",781737.491080898,7408128.28247878,"May","2019-05-16 13:55:00","Frugivory","Celtis iguanaea","AG76","Guareí"
"may001",781743.847593272,7408136.53117266,"May","2019-05-16 14:00:00","Travel",NA,NA,"Guareí"
"may001",781725.104503339,7408155.28405585,"May","2019-05-16 14:05:00","Foraging",NA,NA,"Guareí"
"may001",781732.037823615,7408179.78856414,"May","2019-05-16 14:10:00","Travel",NA,NA,"Guareí"
"may001",781717.261108453,7408184.03812262,"May","2019-05-16 14:15:00","Travel",NA,NA,"Guareí"
"may001",781717.261108453,7408184.03812262,"May","2019-05-16 14:20:00","Long call",NA,NA,"Guareí"
"may001",781697,7408200,"May","2019-05-16 14:25:00","Travel","Myrocarpus frondosus","RG03","Guareí"
"may001",781697,7408200,"May","2019-05-16 14:30:00","Fur-rubbing","Myrocarpus frondosus","RG03","Guareí"
"may001",781697,7408200,"May","2019-05-16 14:35:00","Fur-rubbing","Myrocarpus frondosus","RG03","Guareí"
"may001",781697,7408200,"May","2019-05-16 14:40:00","Fur-rubbing","Myrocarpus frondosus","RG03","Guareí"
"may001",781697,7408200,"May","2019-05-16 14:45:00","Fur-rubbing","Myrocarpus frondosus","RG03","Guareí"
"may001",781697,7408200,"May","2019-05-16 14:50:00","Fur-rubbing","Myrocarpus frondosus","RG03","Guareí"
"may001",781704.714090218,7408212.96577592,"May","2019-05-16 14:55:00","Foraging",NA,NA,"Guareí"
"may001",781704.714090218,7408212.96577592,"May","2019-05-16 15:00:00","Travel",NA,NA,"Guareí"
"may001",781730.138268437,7408198.35852011,"May","2019-05-16 15:05:00","Frugivory","Syagrus romanzoffiana","AG129","Guareí"
"may001",781730.138268437,7408198.35852011,"May","2019-05-16 15:10:00","Frugivory","Syagrus romanzoffiana","AG129","Guareí"
"may001",781730.138268437,7408198.35852011,"May","2019-05-16 15:15:00","Frugivory","Syagrus romanzoffiana","AG129","Guareí"
"may001",781730.138268437,7408198.35852011,"May","2019-05-16 15:20:00","Frugivory","Syagrus romanzoffiana","AG129","Guareí"
"may001",781730.138268437,7408198.35852011,"May","2019-05-16 15:25:00","Frugivory","Syagrus romanzoffiana","AG129","Guareí"
"may001",781761.986312728,7408181.63093763,"May","2019-05-16 15:30:00","Travel",NA,NA,"Guareí"
"may001",781800.020506471,7408177.24282878,"May","2019-05-16 15:35:00","Travel",NA,NA,"Guareí"
"may001",781817.253954239,7408170.10341338,"May","2019-05-16 15:40:00","Travel",NA,NA,"Guareí"
"may001",781830.769508037,7408159.98800334,"May","2019-05-16 15:45:00","Travel",NA,NA,"Guareí"
"may001",781847.804292681,7408162.17955085,"May","2019-05-16 15:50:00","Travel",NA,NA,"Guareí"
"may001",781854.959857223,7408149.90979089,"May","2019-05-16 15:55:00","Foraging",NA,NA,"Guareí"
"may001",781852.190331074,7408135.56324034,"May","2019-05-16 16:00:00","Inactive",NA,NA,"Guareí"
"may001",781860.852277145,7408123.60837196,"May","2019-05-16 16:05:00","Travel",NA,NA,"Guareí"
"may001",781876.073597377,7408100.93728047,"May","2019-05-16 16:10:00","Travel",NA,NA,"Guareí"
"may001",781920.147978976,7408080.22206954,"May","2019-05-16 16:15:00","Out of sight",NA,NA,"Guareí"
"may001",781975.827186799,7408039.17151586,"May","2019-05-16 16:20:00","Travel",NA,NA,"Guareí"
"may001",782014.906491881,7408050.87174075,"May","2019-05-16 16:25:00","Travel",NA,NA,"Guareí"
"may001",782035.154979595,7408024.79689683,"May","2019-05-16 16:30:00","Foraging",NA,NA,"Guareí"
"may001",782050.380367867,7408005.04257813,"May","2019-05-16 16:35:00","Travel",NA,NA,"Guareí"
"may001",782007.794196714,7407942.74166624,"May","2019-05-16 16:40:00","Travel",NA,NA,"Guareí"
"may001",781994.155945756,7407906.59515914,"May","2019-05-16 16:45:00","Travel",NA,NA,"Guareí"
"may001",782010.637916651,7407883.51883258,"May","2019-05-16 16:50:00","Travel",NA,NA,"Guareí"
"may001",781974.894067545,7407887.03690583,"May","2019-05-16 16:55:00","Travel",NA,NA,"Guareí"
"may001",781969.802383584,7407899.62025156,"May","2019-05-16 17:00:00","Sleeping site",NA,"DG03","Guareí"
"may002",781969.802383584,7407899.62025156,"May","2019-05-17 07:25:00","Sleeping site",NA,"DG03","Guareí"
"may002",781969.802383584,7407899.62025156,"May","2019-05-17 07:30:00","Travel",NA,NA,"Guareí"
"may002",781962.953543457,7407884.46927892,"May","2019-05-17 07:35:00","Travel",NA,NA,"Guareí"
"may002",781959.894048718,7407816.48752516,"May","2019-05-17 07:40:00","Travel",NA,NA,"Guareí"
"may002",781967,7407725,"May","2019-05-17 07:45:00","Travel",NA,NA,"Guareí"
"may002",781982.39447665,7407708.36626809,"May","2019-05-17 07:50:00","Foraging",NA,NA,"Guareí"
"may002",781996.66,7407693.13,"May","2019-05-17 07:55:00","Foraging",NA,NA,"Guareí"
"may002",782014.981396588,7407684.18247662,"May","2019-05-17 08:00:00","Frugivory","Syagrus romanzoffiana","AG158","Guareí"
"may002",782014.981396588,7407684.18247662,"May","2019-05-17 08:05:00","Frugivory","Syagrus romanzoffiana","AG158","Guareí"
"may002",782014.981396588,7407684.18247662,"May","2019-05-17 08:10:00","Frugivory","Syagrus romanzoffiana","AG158","Guareí"
"may002",782025.775858196,7407663.63045951,"May","2019-05-17 08:15:00","Travel",NA,NA,"Guareí"
"may002",782007.048889145,7407639.76073063,"May","2019-05-17 08:20:00","Travel",NA,NA,"Guareí"
"may002",782034.620326848,7407617.81895187,"May","2019-05-17 08:25:00","Foraging",NA,NA,"Guareí"
"may002",782039.192639281,7407602.30056146,"May","2019-05-17 08:30:00","Travel",NA,NA,"Guareí"
"may002",782033.36210882,7407565.12195793,"May","2019-05-17 08:35:00","Foraging","Cariniana estrelensis",NA,"Guareí"
"may002",782066.754139042,7407558.36931545,"May","2019-05-17 08:40:00","Foraging",NA,NA,"Guareí"
"may002",782107.213194954,7407552.65171392,"May","2019-05-17 08:45:00","Travel",NA,NA,"Guareí"
"may002",782114.561552046,7407549.12930597,"May","2019-05-17 08:50:00","Travel",NA,NA,"Guareí"
"may002",782155.987995256,7407536.1839307,"May","2019-05-17 08:55:00","Travel",NA,NA,"Guareí"
"may002",782171.515513216,7407527.75749148,"May","2019-05-17 09:00:00","Travel",NA,NA,"Guareí"
"may002",782188.218924463,7407522.08622477,"May","2019-05-17 09:05:00","Travel",NA,NA,"Guareí"
"may002",782229.808458244,7407522.1250269,"May","2019-05-17 09:10:00","Foraging",NA,NA,"Guareí"
"may002",782229.808458244,7407522.1250269,"May","2019-05-17 09:15:00","Inactive",NA,NA,"Guareí"
"may002",782212.068368866,7407545.27226929,"May","2019-05-17 09:20:00","Travel",NA,NA,"Guareí"
"may002",782227.042791746,7407555.84528958,"May","2019-05-17 09:25:00","Foraging",NA,NA,"Guareí"
"may002",782227.042791746,7407555.84528958,"May","2019-05-17 09:30:00","Travel",NA,NA,"Guareí"
"may002",782233.463166469,7407566.97248188,"May","2019-05-17 09:35:00","Travel",NA,NA,"Guareí"
"may002",782263.930186902,7407551.1990538,"May","2019-05-17 09:40:00","Travel",NA,NA,"Guareí"
"may002",782263.930186902,7407551.1990538,"May","2019-05-17 09:45:00","Foraging",NA,NA,"Guareí"
"may002",782274.294145213,7407550.69375599,"May","2019-05-17 09:50:00","Foraging",NA,NA,"Guareí"
"may002",782295.567842489,7407564.73189512,"May","2019-05-17 09:55:00","Foraging",NA,NA,"Guareí"
"may002",782307.050312364,7407547.44581681,"May","2019-05-17 10:00:00","Foraging",NA,NA,"Guareí"
"may002",782307.050312364,7407547.44581681,"May","2019-05-17 10:05:00","Travel",NA,NA,"Guareí"
"may002",782315.106971979,7407557.61259293,"May","2019-05-17 10:10:00","Frugivory","Syagrus romanzoffiana","AG159","Guareí"
"may002",782315.106971979,7407557.61259293,"May","2019-05-17 10:15:00","Frugivory","Syagrus romanzoffiana","AG159","Guareí"
"may002",782315.106971979,7407557.61259293,"May","2019-05-17 10:20:00","Frugivory","Syagrus romanzoffiana","AG159","Guareí"
"may002",782343.74781901,7407513.23267369,"May","2019-05-17 10:25:00","Foraging",NA,NA,"Guareí"
"may002",782357.585887524,7407515.95866092,"May","2019-05-17 10:30:00","Inactive",NA,NA,"Guareí"
"may002",782361.335866899,7407527.31353995,"May","2019-05-17 10:35:00","Inactive",NA,NA,"Guareí"
"may002",782361.520190736,7407537.81709324,"May","2019-05-17 10:40:00","Inactive",NA,NA,"Guareí"
"may002",782356.855015456,7407514.05892174,"May","2019-05-17 10:45:00","Inactive",NA,NA,"Guareí"
"may002",782333.401483383,7407511.52664541,"May","2019-05-17 10:50:00","Inactive",NA,NA,"Guareí"
"may002",782321.199434388,7407489.50162458,"May","2019-05-17 10:55:00","Travel",NA,NA,"Guareí"
"may002",782305.488287153,7407472.25396717,"May","2019-05-17 11:00:00","Travel",NA,NA,"Guareí"
"may002",782305.488287153,7407472.25396717,"May","2019-05-17 11:05:00","Inactive",NA,NA,"Guareí"
"may002",782291.276052162,7407480.4137993,"May","2019-05-17 11:10:00","Foraging",NA,NA,"Guareí"
"may002",782277.040070875,7407463.19356823,"May","2019-05-17 11:15:00","Out of sight",NA,NA,"Guareí"
"may002",782278.627532581,7407455.2201071,"May","2019-05-17 11:20:00","Foraging",NA,NA,"Guareí"
"may002",782267.658221894,7407437.56562517,"May","2019-05-17 11:25:00","Travel",NA,NA,"Guareí"
"may002",782255.244067431,7407425.48502062,"May","2019-05-17 11:30:00","Travel",NA,NA,"Guareí"
"may002",782196.762803154,7407404.72813783,"May","2019-05-17 11:35:00","Travel",NA,NA,"Guareí"
"may002",782162.690535694,7407402.36202184,"May","2019-05-17 11:40:00","Travel",NA,NA,"Guareí"
"may002",782135.092230891,7407402.74237702,"May","2019-05-17 11:45:00","Travel",NA,NA,"Guareí"
"may002",782125.290536663,7407407.52882566,"May","2019-05-17 11:50:00","Travel",NA,NA,"Guareí"
"may002",782114.523701441,7407405.34763164,"May","2019-05-17 11:55:00","Foraging",NA,NA,"Guareí"
"may002",782065.182996677,7407413.28860088,"May","2019-05-17 12:00:00","Travel",NA,NA,"Guareí"
"may002",782065.182996677,7407413.28860088,"May","2019-05-17 12:05:00","Out of sight",NA,NA,"Guareí"
"may002",782028.926844666,7407429.83214239,"May","2019-05-17 12:10:00","Travel",NA,NA,"Guareí"
"may002",781984.973744318,7407403.95597705,"May","2019-05-17 12:15:00","Inactive",NA,NA,"Guareí"
"may002",781994.167356413,7407414.86289846,"May","2019-05-17 12:20:00","Agonin",NA,NA,"Guareí"
"may002",781994.167356413,7407414.86289846,"May","2019-05-17 12:25:00","Agonin",NA,NA,"Guareí"
"may002",781994.167356413,7407414.86289846,"May","2019-05-17 12:30:00","Inactive",NA,NA,"Guareí"
"may002",781997.656223771,7407425.58182208,"May","2019-05-17 12:35:00","Travel",NA,NA,"Guareí"
"may002",781992.04081682,7407450.19657567,"May","2019-05-17 12:40:00","Agonin",NA,NA,"Guareí"
"may002",781973.77477516,7407451.71702835,"May","2019-05-17 12:45:00","Travel",NA,NA,"Guareí"
"may002",781958.440726571,7407458.60669133,"May","2019-05-17 12:50:00","Travel",NA,NA,"Guareí"
"may002",781941.382339502,7407484.68545837,"May","2019-05-17 12:55:00","Gummivory",NA,NA,"Guareí"
"may002",781930.189658368,7407499.66172412,"May","2019-05-17 13:00:00","Foraging",NA,NA,"Guareí"
"may002",781909.415526111,7407518.39814176,"May","2019-05-17 13:05:00","Frugivory","Syagrus romanzoffiana","AG136","Guareí"
"may002",781909.415526111,7407518.39814176,"May","2019-05-17 13:10:00","Frugivory","Syagrus romanzoffiana","AG136","Guareí"
"may002",781903.818951645,7407527.44234836,"May","2019-05-17 13:15:00","Foraging",NA,NA,"Guareí"
"may002",781887.614011661,7407541.68774144,"May","2019-05-17 13:20:00","Travel",NA,NA,"Guareí"
"may002",781887.614011661,7407541.68774144,"May","2019-05-17 13:25:00","Foraging",NA,NA,"Guareí"
"may002",781887.614011661,7407541.68774144,"May","2019-05-17 13:30:00","Travel",NA,NA,"Guareí"
"may002",781887.614011661,7407541.68774144,"May","2019-05-17 13:35:00","Foraging",NA,NA,"Guareí"
"may002",781887.614011661,7407541.68774144,"May","2019-05-17 13:40:00","Foraging",NA,NA,"Guareí"
"may002",781853.772017952,7407507.48821922,"May","2019-05-17 13:45:00","Frugivory","Syagrus romanzoffiana","AG149","Guareí"
"may002",781853.772017952,7407507.48821922,"May","2019-05-17 13:50:00","Frugivory","Syagrus romanzoffiana","AG149","Guareí"
"may002",781853.772017952,7407507.48821922,"May","2019-05-17 13:55:00","Frugivory","Syagrus romanzoffiana","AG149","Guareí"
"may002",781853.772017952,7407507.48821922,"May","2019-05-17 14:00:00","Frugivory","Syagrus romanzoffiana","AG149","Guareí"
"may002",781853.772017952,7407507.48821922,"May","2019-05-17 14:05:00","Frugivory","Syagrus romanzoffiana","AG149","Guareí"
"may002",781853.772017952,7407507.48821922,"May","2019-05-17 14:10:00","Frugivory","Syagrus romanzoffiana","AG149","Guareí"
"may002",781831.325661685,7407521.26832182,"May","2019-05-17 14:15:00","Travel",NA,NA,"Guareí"
"may002",781804.087040832,7407533.72749251,"May","2019-05-17 14:20:00","Travel",NA,NA,"Guareí"
"may002",781789.889352509,7407541.76575171,"May","2019-05-17 14:25:00","Travel",NA,NA,"Guareí"
"may002",781780.422335055,7407573.00358053,"May","2019-05-17 14:30:00","Travel",NA,NA,"Guareí"
"may002",781794.879196943,7407572.68040002,"May","2019-05-17 14:35:00","Frugivory","Syagrus romanzoffiana","AG160","Guareí"
"may002",781794.879196943,7407572.68040002,"May","2019-05-17 14:40:00","Frugivory","Syagrus romanzoffiana","AG160","Guareí"
"may002",781803.9023551,7407599.31874037,"May","2019-05-17 14:45:00","Travel",NA,NA,"Guareí"
"may002",781796.480596641,7407619.16499239,"May","2019-05-17 14:50:00","Foraging",NA,NA,"Guareí"
"may002",781792.176503322,7407629.00192554,"May","2019-05-17 14:55:00","Foraging",NA,NA,"Guareí"
"may002",781785.72412836,7407634.99673974,"May","2019-05-17 15:00:00","Foraging",NA,NA,"Guareí"
"may002",781783.492446236,7407681.88913614,"May","2019-05-17 15:05:00","Travel",NA,NA,"Guareí"
"may002",781813.570002561,7407721.42780969,"May","2019-05-17 15:10:00","Foraging",NA,NA,"Guareí"
"may002",781808.012460763,7407740.13285813,"May","2019-05-17 15:15:00","Inactive",NA,NA,"Guareí"
"may002",781807.237669958,7407783.41141516,"May","2019-05-17 15:20:00","Travel",NA,NA,"Guareí"
"may002",781850.274185854,7407816.45907759,"May","2019-05-17 15:25:00","Travel","Syagrus romanzoffiana","AG161","Guareí"
"may002",781850.274185854,7407816.45907759,"May","2019-05-17 15:30:00","Frugivory","Syagrus romanzoffiana","AG161","Guareí"
"may002",781850.274185854,7407816.45907759,"May","2019-05-17 15:35:00","Frugivory","Syagrus romanzoffiana","AG161","Guareí"
"may002",781855.825404762,7407844.44589993,"May","2019-05-17 15:40:00","Travel",NA,NA,"Guareí"
"may002",781878.767292712,7407868.15150921,"May","2019-05-17 15:45:00","Inactive",NA,NA,"Guareí"
"may002",781885.416861149,7407875.58629621,"May","2019-05-17 15:50:00","Foraging",NA,NA,"Guareí"
"may002",781886.996025456,7407892.2409855,"May","2019-05-17 15:55:00","Travel",NA,NA,"Guareí"
"may002",781897.188481099,7407900.23037001,"May","2019-05-17 16:00:00","Frugivory","Celtis iguanaea","AG65","Guareí"
"may002",781897.188481099,7407900.23037001,"May","2019-05-17 16:05:00","Frugivory","Celtis iguanaea","AG65","Guareí"
"may002",781897.188481099,7407900.23037001,"May","2019-05-17 16:10:00","Frugivory","Celtis iguanaea","AG65","Guareí"
"may002",781897.188481099,7407900.23037001,"May","2019-05-17 16:15:00","Frugivory","Celtis iguanaea","AG65","Guareí"
"may002",781907.303093595,7407894.7506695,"May","2019-05-17 16:20:00","Travel",NA,NA,"Guareí"
"may002",781946.557973207,7407892.80986746,"May","2019-05-17 16:25:00","Travel",NA,NA,"Guareí"
"may002",781969.802383584,7407899.62025156,"May","2019-05-17 16:30:00","Sleeping site",NA,"DG03","Guareí"
"may003",781969.802383584,7407899.62025156,"May","2019-05-18 07:35:00","Sleeping site",NA,"DG03","Guareí"
"may003",781960.552253527,7407900.09454951,"May","2019-05-18 07:40:00","Inactive",NA,NA,"Guareí"
"may003",781962.88771383,7407890.88067586,"May","2019-05-18 07:45:00","Frugivory","Celtis iguanaea","AG162","Guareí"
"may003",781962.88771383,7407890.88067586,"May","2019-05-18 07:50:00","Travel","Celtis iguanaea","AG162","Guareí"
"may003",781923.247051232,7407908.91980382,"May","2019-05-18 07:55:00","Travel",NA,NA,"Guareí"
"may003",781913.577173585,7407917.47519016,"May","2019-05-18 08:00:00","Travel",NA,NA,"Guareí"
"may003",781897.188481099,7407900.23037001,"May","2019-05-18 08:05:00","Frugivory","Celtis iguanaea","AG65","Guareí"
"may003",781897.188481099,7407900.23037001,"May","2019-05-18 08:10:00","Frugivory","Celtis iguanaea","AG65","Guareí"
"may003",781897.188481099,7407900.23037001,"May","2019-05-18 08:15:00","Frugivory","Celtis iguanaea","AG65","Guareí"
"may003",781897.188481099,7407900.23037001,"May","2019-05-18 08:20:00","Frugivory","Celtis iguanaea","AG65","Guareí"
"may003",781897.188481099,7407900.23037001,"May","2019-05-18 08:25:00","Frugivory","Celtis iguanaea","AG65","Guareí"
"may003",781897.188481099,7407900.23037001,"May","2019-05-18 08:30:00","Frugivory","Celtis iguanaea","AG65","Guareí"
"may003",781897.188481099,7407900.23037001,"May","2019-05-18 08:35:00","Frugivory","Celtis iguanaea","AG65","Guareí"
"may003",781897.188481099,7407900.23037001,"May","2019-05-18 08:40:00","Frugivory","Celtis iguanaea","AG65","Guareí"
"may003",781897.188481099,7407900.23037001,"May","2019-05-18 08:45:00","Frugivory","Celtis iguanaea","AG65","Guareí"
"may003",781897.188481099,7407900.23037001,"May","2019-05-18 08:50:00","Frugivory","Celtis iguanaea","AG65","Guareí"
"may003",781897.188481099,7407900.23037001,"May","2019-05-18 08:55:00","Frugivory","Celtis iguanaea","AG65","Guareí"
"may003",781897.188481099,7407900.23037001,"May","2019-05-18 09:00:00","Frugivory","Celtis iguanaea","AG65","Guareí"
"may003",781897.188481099,7407900.23037001,"May","2019-05-18 09:05:00","Frugivory","Celtis iguanaea","AG65","Guareí"
"may003",781897.188481099,7407900.23037001,"May","2019-05-18 09:10:00","Frugivory","Celtis iguanaea","AG65","Guareí"
"may003",781893.193527815,7407925.74248494,"May","2019-05-18 09:15:00","Travel",NA,NA,"Guareí"
"may003",781883.779723384,7407928.86870175,"May","2019-05-18 09:20:00","Travel",NA,NA,"Guareí"
